,Zebrafish_LeftEye_x,Zebrafish_LeftEye_y,Zebrafish_LeftEye_p,Zebrafish_RightEye_x,Zebrafish_RightEye_y,Zebrafish_RightEye_p,Zebrafish_SwimBladder_x,Zebrafish_SwimBladder_y,Zebrafish_SwimBladder_p,Zebrafish_Tail1_x,Zebrafish_Tail1_y,Zebrafish_Tail1_p,Zebrafish_Tail2_x,Zebrafish_Tail2_y,Zebrafish_Tail2_p,Zebrafish_Tail3_x,Zebrafish_Tail3_y,Zebrafish_Tail3_p,Zebrafish_Tail4_x,Zebrafish_Tail4_y,Zebrafish_Tail4_p,Movement_bp_0_axis_x,Movement_bp_0_axis_y,Movement_bp_0_X_relative_2_Y,Movement_bp_1_axis_x,Movement_bp_1_axis_y,Movement_bp_1_X_relative_2_Y,Movement_bp_2_axis_x,Movement_bp_2_axis_y,Movement_bp_2_X_relative_2_Y,Movement_bp_3_axis_x,Movement_bp_3_axis_y,Movement_bp_3_X_relative_2_Y,Movement_bp_4_axis_x,Movement_bp_4_axis_y,Movement_bp_4_X_relative_2_Y,Movement_bp_5_axis_x,Movement_bp_5_axis_y,Movement_bp_5_X_relative_2_Y,Movement_bp_6_axis_x,Movement_bp_6_axis_y,Movement_bp_6_X_relative_2_Y,All_bps_X_relative_2_y,Tail_1_movement,Tail_2_movement,Tail_3_movement,Tail_4_movement,SwimBladder_movement,SwimBladder_distance travelled,Total_tail_movement,Lower_tail_movement,All_bps_X_relative_2_y_mean_2,All_bps_X_relative_2_y_sum_2,All_bps_X_relative_2_y_mean_5,All_bps_X_relative_2_y_sum_5,All_bps_X_relative_2_y_mean_6,All_bps_X_relative_2_y_sum_6,All_bps_X_relative_2_y_mean_7.5,All_bps_X_relative_2_y_sum_7.5,All_bps_X_relative_2_y_mean_15,All_bps_X_relative_2_y_sum_15,SwimBladder_velocity,Fish_clockwise_angle_degrees,Fish_angle_radians,Fish_angle_sin,Fish_angle_cos,Mean_angle_time_window_2,Mean_angle_time_window_5,Mean_angle_time_window_6,Mean_angle_time_window_7.5,Mean_angle_time_window_15,Direction_N,Direction_NE,Direction_E,Direction_SE,Direction_S,Direction_SW,Direction_W,Direction_NW,Number_of_direction_switches_2,Directionality_of_switches_switches_2,Number_of_direction_switches_5,Directionality_of_switches_switches_5,Number_of_direction_switches_6,Directionality_of_switches_switches_6,Number_of_direction_switches_7.5,Directionality_of_switches_switches_7.5,Number_of_direction_switches_15,Directionality_of_switches_switches_15,Angular_dispersion,Angular_dispersion_window_10,Rheotaxis
0,512.5,417.0,1.0,522.0,414.0,1.0,526.5,437.8,1.0,535.5,453.8,1.0,540.0,474.2,1.0,552.5,490.0,1.0,560.5,514.0,1.0,512.5,417.0,95.5,522.0,414.0,108.0,526.5,437.8,88.69999999999997,535.5,453.8,81.69999999999997,540.0,474.2,65.80000000000001,552.5,490.0,62.5,560.5,514.0,46.5,548.7,25.648494840140263,26.25993579657159,26.984420165403765,27.78885545120862,0.0,0.0,106.68170625332424,54.77327561661239,548.7,548.7,548.7,548.7,548.7,548.7,548.7,548.7,548.7,548.7,0.0,333.52282571645924,5.8210714393074285,-0.4458412502643781,0.8951120486077127,333.52282571645924,333.52282571645924,333.52282571645924,333.52282571645924,333.52282571645924,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,511.8,417.0,1.0,522.0,409.8,1.0,526.5,437.2,1.0,535.5,454.0,1.0,540.0,474.0,1.0,552.0,490.0,1.0,560.0,513.5,1.0,-0.6999999999999886,0.0,-0.6999999999999886,0.0,-4.199999999999989,4.199999999999989,0.0,-0.6000000000000227,0.6000000000000227,0.0,0.19999999999998866,-0.19999999999998866,0.0,-0.19999999999998866,0.19999999999998866,-0.5,0.0,-0.5,-0.5,-0.5,0.0,3.6000000000000227,0.007308074042609166,0.007308074042609166,0.018270185106523958,0.025837943564713105,0.021924222127829573,0.021924222127829573,0.05872427675645539,0.04410812867123706,276.15000000000003,552.3000000000002,276.15000000000003,552.3000000000002,276.15000000000003,552.3000000000002,276.15000000000003,552.3000000000002,276.15000000000003,552.3000000000002,0.021924222127829573,334.22156913781083,5.833266812636664,-0.4348921413138919,0.9004825514264104,333.872197427135,333.872197427135,333.872197427135,333.872197427135,333.872197427135,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999814091662736,0.9999907045831368,0.0
2,512.0,417.0,1.0,522.5,410.2,1.0,526.5,437.5,1.0,535.5,453.8,1.0,540.0,474.0,1.0,552.0,489.8,1.0,560.0,513.5,1.0,0.19999999999998866,0.0,0.19999999999998866,0.5,0.3999999999999773,0.10000000000002274,0.0,0.30000000000001137,-0.30000000000001137,0.0,-0.19999999999998866,0.19999999999998866,0.0,0.0,0.0,0.0,-0.19999999999998866,0.19999999999998866,0.0,0.0,0.0,0.3999999999999773,0.007308074042609166,0.0,0.007308074042609166,0.0,0.010962111063914787,0.03288633319174436,0.014616148085218331,0.007308074042609166,184.23333333333332,552.7,184.23333333333332,552.7,184.23333333333332,552.7,184.23333333333332,552.7,184.23333333333332,552.7,0.03288633319174436,334.00744716660927,5.8295296792383375,-0.4382543200138392,0.8988510171264242,333.91728067362635,333.91728067362635,333.91728067362635,333.91728067362635,333.91728067362635,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999986986980146,0.9999894653821398,0.0
3,511.8,417.0,1.0,522.0,410.0,1.0,526.5,437.5,1.0,535.5,454.0,1.0,540.0,474.0,1.0,551.5,490.0,1.0,560.0,514.0,1.0,-0.19999999999998866,0.0,-0.19999999999998866,-0.5,-0.19999999999998866,-0.30000000000001137,0.0,0.0,0.0,0.0,0.19999999999998866,-0.19999999999998866,0.0,0.0,0.0,-0.5,0.19999999999998866,-0.6999999999999886,0.0,0.5,-0.5,-1.8999999999999773,0.007308074042609166,0.0,0.019677591571096997,0.018270185106523958,0.0,0.03288633319174436,0.04525585072023011,0.03794777667762095,137.70000000000002,550.8000000000002,137.70000000000002,550.8000000000002,137.70000000000002,550.8000000000002,137.70000000000002,550.8000000000002,137.70000000000002,550.8000000000002,0.03288633319174436,334.5366549381284,5.838766097278486,-0.4299335803923489,0.9028605188239298,334.07212423975193,334.07212423975193,334.07212423975193,334.07212423975193,334.07212423975193,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999792848338208,0.9999869202450602,0.0
4,511.8,417.0,1.0,522.5,410.2,1.0,526.5,437.5,1.0,535.0,453.8,1.0,539.5,474.0,1.0,551.5,490.2,1.0,560.0,514.0,1.0,0.0,0.0,0.0,0.5,0.19999999999998866,0.30000000000001137,0.0,0.0,0.0,-0.5,-0.19999999999998866,-0.30000000000001137,-0.5,0.0,-0.5,0.0,0.19999999999998866,-0.19999999999998866,0.0,0.0,0.0,-0.6999999999999886,0.019677591571096997,0.018270185106523958,0.007308074042609166,0.0,0.0,0.03288633319174436,0.04525585072023011,0.007308074042609166,110.02000000000002,550.1000000000001,110.02000000000002,550.1000000000001,110.02000000000002,550.1000000000001,110.02000000000002,550.1000000000001,0.35000000000002274,1.400000000000091,0.03288633319174436,334.62111832429883,5.840240261464548,-0.428602149075402,0.903493330250947,334.1819230566613,334.1819230566613,334.1819230566613,334.1819230566613,334.34669739171187,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999760831465972,0.9999847528253676,0.0
5,511.8,417.0,1.0,522.5,410.2,1.0,526.5,437.5,1.0,535.0,453.5,1.0,539.5,473.5,1.0,551.5,490.0,1.0,560.0,514.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000001137,0.30000000000001137,0.0,-0.5,0.5,0.0,-0.19999999999998866,0.19999999999998866,0.0,0.0,0.0,1.0,0.010962111063914787,0.018270185106523958,0.007308074042609166,0.0,0.0,0.03288633319174436,0.036540370213047915,0.007308074042609166,91.85000000000002,551.1000000000001,91.85000000000002,551.1000000000001,91.85000000000002,551.1000000000001,91.85000000000002,551.1000000000001,-0.2999999999999829,-1.1999999999999318,0.03288633319174436,334.5366549381284,5.838766097278486,-0.4299335803923489,0.9028605188239298,334.2410450369058,334.2410450369058,334.2410450369058,334.2410450369058,334.42546884179126,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999774074232888,0.999983528591688,0.0
6,517.5,413.5,1.0,529.0,415.2,1.0,526.0,432.2,1.0,531.5,454.2,1.0,537.5,470.8,1.0,549.5,483.5,1.0,563.0,507.8,1.0,5.699999999999988,-3.5,9.199999999999989,6.5,5.0,1.5,-0.5,-5.300000000000012,4.800000000000012,-3.5,0.6999999999999886,-4.199999999999989,-2.0,-2.6999999999999886,0.6999999999999886,-2.0,-6.5,4.5,3.0,-6.199999999999988,9.199999999999989,25.699999999999992,0.13042404252516498,0.12277781891861175,0.2485013839155231,0.25167801693382924,0.19452385429913,0.2274101874908744,0.7533812622931291,0.5001794008493523,82.40000000000002,576.8000000000002,82.40000000000002,576.8000000000002,82.40000000000002,576.8000000000002,82.40000000000002,576.8000000000002,6.025000000000019,24.100000000000076,0.2274101874908744,335.38797359983465,5.853624410908933,-0.4164716320026432,0.9091487115632156,334.40489197446703,334.40489197446703,334.40489197446703,334.40489197446703,334.7706004500976,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999561025195548,0.9999796105813832,0.0
7,537.5,420.0,1.0,548.0,426.5,1.0,527.0,431.5,1.0,514.0,450.8,1.0,512.0,466.8,1.0,525.0,476.2,1.0,553.0,479.2,1.0,20.0,6.5,13.5,19.0,11.300000000000011,7.699999999999988,1.0,-0.6999999999999886,1.6999999999999886,-17.5,-3.3999999999999773,-14.100000000000026,-25.5,-4.0,-21.5,-24.5,-7.300000000000012,-17.199999999999992,-10.0,-28.600000000000023,18.600000000000023,-11.300000000000011,0.6514134513832132,0.9431734220693571,0.934133678436376,1.107094827747491,0.0446032061225066,0.272013393613381,3.6358153796364374,2.0412285061838666,70.68750000000003,565.5000000000002,70.68750000000003,565.5000000000002,70.68750000000003,565.5000000000002,70.68750000000003,565.5000000000002,3.6750000000000114,14.700000000000045,0.272013393613381,2.5618609249345683,0.0447129081182955,0.04469801093751321,0.99900054445342,292.9245130932755,292.9245130932755,292.9245130932755,292.9245130932755,251.7769019467992,1,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9869331410928892,0.9983488018953214,0.0
8,545.0,415.0,1.0,557.5,418.8,1.0,535.5,433.8,1.0,524.5,448.0,1.0,511.8,463.5,1.0,506.2,480.8,1.0,508.0,495.5,1.0,7.5,-5.0,12.5,9.5,-7.699999999999988,17.199999999999992,8.5,2.300000000000012,6.199999999999988,10.5,-2.800000000000012,13.300000000000011,-0.19999999999998866,-3.300000000000012,3.1000000000000227,-18.80000000000001,4.600000000000024,-23.400000000000034,-45.0,16.300000000000008,-61.30000000000001,-32.400000000000034,0.3970813634573603,0.12080447550691666,0.7072237384858152,1.7488642622354296,0.3217628066331995,0.5937762002465805,2.9739738396855215,2.4560880007212447,59.23333333333335,533.1000000000001,59.23333333333335,533.1000000000001,59.23333333333335,533.1000000000001,-1.9499999999999889,-15.599999999999907,-4.25,-17.0,0.5937762002465805,31.939589040433297,0.5574509904894573,0.529024813246959,0.8486063557203777,263.92618819851526,263.92618819851526,263.92618819851526,255.22660850877227,176.10651962583276,0,1,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9467024727072254,0.9926103208744218,0.0
9,549.5,406.5,1.0,559.0,413.5,1.0,541.5,429.2,1.0,530.0,441.8,1.0,524.5,459.8,1.0,512.0,474.2,1.0,500.5,487.0,1.0,4.5,-8.5,13.0,1.5,-5.300000000000012,6.800000000000012,6.0,-4.600000000000024,10.600000000000025,5.5,-6.199999999999988,11.699999999999989,12.699999999999989,-3.6999999999999886,16.399999999999974,5.800000000000012,-6.600000000000023,12.400000000000036,-7.5,-8.5,1.0,71.90000000000003,0.30284450735156165,0.4833560392769993,0.32105659343746545,0.41421374579665743,0.27626066520104786,0.8700368654476284,1.521470885862684,0.7352703392341229,60.50000000000002,605.0000000000002,60.50000000000002,605.0000000000002,60.50000000000002,605.0000000000002,6.587500000000013,52.7000000000001,13.475000000000007,53.90000000000003,0.8700368654476284,33.247067749335855,0.5802707988595314,0.5482504298268911,0.8363142149901729,240.8582761535973,240.8582761535973,240.8582761535973,217.6047958352129,100.78412282863465,0,1,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9195574024918776,0.9853050290361672,0.0
